onset	duration	trial_type	value	sample
15.888	0.0	start_trial	417	3972
17.884	0.0	go_cue_MI	420	4471
22.892	0.0	start_trial	417	5723
24.892	0.0	go_cue_rest	421	6223
29.892	0.0	start_trial	417	7473
31.888	0.0	go_cue_rest	421	7972
36.88	0.0	start_trial	417	9220
38.88	0.0	go_cue_rest	421	9720
43.884	0.0	start_trial	417	10971
45.88	0.0	go_cue_rest	421	11470
50.884	0.0	start_trial	417	12721
52.888	0.0	go_cue_rest	421	13222
57.888	0.0	start_trial	417	14472
59.88	0.0	go_cue_rest	421	14970
64.888	0.0	start_trial	417	16222
66.88	0.0	go_cue_rest	421	16720
71.888	0.0	start_trial	417	17972
73.884	0.0	go_cue_rest	421	18471
78.876	0.0	start_trial	417	19719
80.88	0.0	go_cue_rest	421	20220
85.888	0.0	start_trial	417	21472
87.888	0.0	go_cue_MI	420	21972
92.876	0.0	start_trial	417	23219
94.88	0.0	go_cue_rest	421	23720
99.88	0.0	start_trial	417	24970
101.88	0.0	go_cue_MI	420	25470
106.872	0.0	start_trial	417	26718
108.884	0.0	go_cue_MI	420	27221
113.872	0.0	start_trial	417	28468
115.884	0.0	go_cue_MI	420	28971
120.88	0.0	start_trial	417	30220
122.876	0.0	go_cue_MI	420	30719
127.884	0.0	start_trial	417	31971
129.872	0.0	go_cue_MI	420	32468
134.876	0.0	start_trial	417	33719
136.884	0.0	go_cue_MI	420	34221
141.88	0.0	start_trial	417	35470
143.876	0.0	go_cue_MI	420	35969
148.876	0.0	start_trial	417	37219
150.868	0.0	go_cue_MI	420	37717
