onset	duration	trial_type	value	sample
58.68	0.0	start_trial	417	7335
60.68	0.0	go_cue_rest	421	7585
65.688	0.0	start_trial	417	8211
67.688	0.0	go_cue_rest	421	8461
72.696	0.0	start_trial	417	9087
74.696	0.0	go_cue_MI	420	9337
79.704	0.0	start_trial	417	9963
81.712	0.0	go_cue_rest	421	10214
86.712	0.0	start_trial	417	10839
88.72	0.0	go_cue_rest	421	11090
93.728	0.0	start_trial	417	11716
95.728	0.0	go_cue_MI	420	11966
100.736	0.0	start_trial	417	12592
102.736	0.0	go_cue_rest	421	12842
107.744	0.0	start_trial	417	13468
109.744	0.0	go_cue_MI	420	13718
114.752	0.0	start_trial	417	14344
116.76	0.0	go_cue_rest	421	14595
121.768	0.0	start_trial	417	15221
123.768	0.0	go_cue_MI	420	15471
128.776	0.0	start_trial	417	16097
130.776	0.0	go_cue_rest	421	16347
135.784	0.0	start_trial	417	16973
137.784	0.0	go_cue_MI	420	17223
142.792	0.0	start_trial	417	17849
144.8	0.0	go_cue_MI	420	18100
149.8	0.0	start_trial	417	18725
151.808	0.0	go_cue_MI	420	18976
156.816	0.0	start_trial	417	19602
158.816	0.0	go_cue_rest	421	19852
163.824	0.0	start_trial	417	20478
165.824	0.0	go_cue_MI	420	20728
170.832	0.0	start_trial	417	21354
172.84	0.0	go_cue_MI	420	21605
177.84	0.0	start_trial	417	22230
179.848	0.0	go_cue_rest	421	22481
184.856	0.0	start_trial	417	23107
186.856	0.0	go_cue_MI	420	23357
191.864	0.0	start_trial	417	23983
193.864	0.0	go_cue_rest	421	24233
