onset	duration	trial_type	value	sample
41.096	0.0	start_trial	417	5137
43.096	0.0	go_cue_MI	420	5387
48.104	0.0	start_trial	417	6013
50.104	0.0	go_cue_rest	421	6263
55.112	0.0	start_trial	417	6889
57.12	0.0	go_cue_MI	420	7140
62.12	0.0	start_trial	417	7765
64.128	0.0	go_cue_MI	420	8016
69.136	0.0	start_trial	417	8642
71.136	0.0	go_cue_rest	421	8892
76.144	0.0	start_trial	417	9518
78.144	0.0	go_cue_rest	421	9768
83.152	0.0	start_trial	417	10394
85.16	0.0	go_cue_MI	420	10645
90.168	0.0	start_trial	417	11271
92.168	0.0	go_cue_MI	420	11521
97.176	0.0	start_trial	417	12147
99.176	0.0	go_cue_rest	421	12397
104.184	0.0	start_trial	417	13023
106.192	0.0	go_cue_rest	421	13274
111.2	0.0	start_trial	417	13900
113.2	0.0	go_cue_MI	420	14150
118.208	0.0	start_trial	417	14776
120.208	0.0	go_cue_rest	421	15026
125.216	0.0	start_trial	417	15652
127.224	0.0	go_cue_rest	421	15903
132.232	0.0	start_trial	417	16529
134.232	0.0	go_cue_MI	420	16779
139.24	0.0	start_trial	417	17405
141.24	0.0	go_cue_MI	420	17655
146.248	0.0	start_trial	417	18281
148.248	0.0	go_cue_MI	420	18531
153.256	0.0	start_trial	417	19157
155.264	0.0	go_cue_rest	421	19408
160.272	0.0	start_trial	417	20034
162.272	0.0	go_cue_rest	421	20284
167.28	0.0	start_trial	417	20910
169.28	0.0	go_cue_rest	421	21160
174.288	0.0	start_trial	417	21786
176.296	0.0	go_cue_MI	420	22037
