onset	duration	trial_type	value	sample
48.904	0.0	start_trial	417	6113
50.912	0.0	go_cue_MI	420	6364
55.912	0.0	start_trial	417	6989
57.92	0.0	go_cue_rest	421	7240
62.928	0.0	start_trial	417	7866
64.928	0.0	go_cue_rest	421	8116
69.936	0.0	start_trial	417	8742
71.936	0.0	go_cue_rest	421	8992
76.944	0.0	start_trial	417	9618
78.952	0.0	go_cue_rest	421	9869
83.952	0.0	start_trial	417	10494
85.96	0.0	go_cue_MI	420	10745
90.968	0.0	start_trial	417	11371
92.968	0.0	go_cue_MI	420	11621
97.976	0.0	start_trial	417	12247
99.976	0.0	go_cue_MI	420	12497
104.984	0.0	start_trial	417	13123
106.992	0.0	go_cue_rest	421	13374
111.992	0.0	start_trial	417	13999
114.0	0.0	go_cue_MI	420	14250
119.008	0.0	start_trial	417	14876
121.008	0.0	go_cue_MI	420	15126
126.016	0.0	start_trial	417	15752
128.016	0.0	go_cue_MI	420	16002
133.024	0.0	start_trial	417	16628
135.032	0.0	go_cue_MI	420	16879
140.032	0.0	start_trial	417	17504
142.04	0.0	go_cue_MI	420	17755
147.048	0.0	start_trial	417	18381
149.048	0.0	go_cue_rest	421	18631
154.056	0.0	start_trial	417	19257
156.056	0.0	go_cue_rest	421	19507
161.064	0.0	start_trial	417	20133
163.072	0.0	go_cue_rest	421	20384
168.072	0.0	start_trial	417	21009
170.08	0.0	go_cue_rest	421	21260
175.088	0.0	start_trial	417	21886
177.088	0.0	go_cue_rest	421	22136
182.096	0.0	start_trial	417	22762
184.096	0.0	go_cue_MI	420	23012
